,MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,Referee,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards
2738,2000-2001_Sunderland_Leicester,2000-2001,8,2000-10-01,Sunderland,Leicester,0,0,D,Steve Lodge,12.0,8.0,3.0,1.0,0.0,0.0
2739,2000-2001_Arsenal_Aston Villa,2000-2001,8,2000-10-14,Arsenal,Aston Villa,1,0,H,Rob Harris,12.0,20.0,1.0,4.0,0.0,1.0
2740,2000-2001_Coventry_Tottenham,2000-2001,8,2000-10-14,Coventry,Tottenham,2,1,H,Peter Jones,12.0,16.0,0.0,4.0,1.0,0.0
2741,2000-2001_Everton_Southampton,2000-2001,8,2000-10-14,Everton,Southampton,1,1,D,David Ellaray,16.0,13.0,1.0,3.0,0.0,0.0
2742,2000-2001_Ipswich_West Ham,2000-2001,8,2000-10-14,Ipswich,West Ham,1,1,D,Neale Barry,10.0,11.0,0.0,4.0,0.0,0.0
2743,2000-2001_Leeds_Charlton,2000-2001,8,2000-10-14,Leeds,Charlton,3,1,H,Mike Dean,7.0,9.0,0.0,1.0,0.0,0.0
2744,2000-2001_Leicester_Man United,2000-2001,8,2000-10-14,Leicester,Man United,0,3,A,Paul Durkin,8.0,11.0,0.0,0.0,0.0,0.0
2745,2000-2001_Man City_Bradford,2000-2001,8,2000-10-14,Man City,Bradford,2,0,H,Barry Knight,10.0,16.0,0.0,2.0,0.0,0.0
2746,2000-2001_Sunderland_Chelsea,2000-2001,8,2000-10-14,Sunderland,Chelsea,1,0,H,Jeff Winter,12.0,18.0,0.0,1.0,1.0,1.0
2747,2000-2001_Derby_Liverpool,2000-2001,8,2000-10-15,Derby,Liverpool,0,4,A,Steve Bennett,18.0,13.0,1.0,1.0,0.0,0.0
2748,2000-2001_Middlesbrough_Newcastle,2000-2001,8,2000-10-16,Middlesbrough,Newcastle,1,3,A,Steve Dunn,8.0,13.0,2.0,1.0,0.0,0.0
2749,2000-2001_Bradford_Ipswich,2000-2001,9,2000-10-21,Bradford,Ipswich,0,2,A,Paul Taylor,15.0,14.0,1.0,0.0,0.0,0.0
2750,2000-2001_Charlton_Middlesbrough,2000-2001,9,2000-10-21,Charlton,Middlesbrough,1,0,H,Mike Riley,11.0,19.0,2.0,2.0,0.0,0.0
2751,2000-2001_Chelsea_Coventry,2000-2001,9,2000-10-21,Chelsea,Coventry,6,1,H,Steve Lodge,6.0,8.0,0.0,1.0,0.0,1.0
2752,2000-2001_Liverpool_Leicester,2000-2001,9,2000-10-21,Liverpool,Leicester,1,0,H,Andy D'Urso,8.0,10.0,1.0,2.0,0.0,0.0
2753,2000-2001_Man United_Leeds,2000-2001,9,2000-10-21,Man United,Leeds,3,0,H,Jeff Winter,9.0,18.0,0.0,2.0,0.0,0.0
2754,2000-2001_Newcastle_Everton,2000-2001,9,2000-10-21,Newcastle,Everton,0,1,A,Mark Halsey,9.0,12.0,1.0,3.0,0.0,0.0
2755,2000-2001_Tottenham_Derby,2000-2001,9,2000-10-21,Tottenham,Derby,3,1,H,Mike Dean,9.0,16.0,1.0,2.0,0.0,0.0
2756,2000-2001_West Ham_Arsenal,2000-2001,9,2000-10-21,West Ham,Arsenal,1,2,A,Dermot Gallagher,15.0,11.0,1.0,0.0,0.0,0.0
2757,2000-2001_Aston Villa_Sunderland,2000-2001,9,2000-10-22,Aston Villa,Sunderland,0,0,D,Rob Styles,11.0,17.0,1.0,3.0,0.0,0.0
2758,2000-2001_Southampton_Man City,2000-2001,9,2000-10-23,Southampton,Man City,0,2,A,Alan Wiley,10.0,15.0,1.0,2.0,0.0,0.0
2759,2000-2001_Arsenal_Man City,2000-2001,10,2000-10-28,Arsenal,Man City,5,0,H,Rob Styles,6.0,13.0,0.0,3.0,0.0,1.0
2760,2000-2001_Aston Villa_Charlton,2000-2001,10,2000-10-28,Aston Villa,Charlton,2,1,H,Dermot Gallagher,13.0,11.0,3.0,2.0,0.0,0.0
2761,2000-2001_Chelsea_Tottenham,2000-2001,10,2000-10-28,Chelsea,Tottenham,3,0,H,Steve Dunn,12.0,14.0,3.0,3.0,0.0,0.0
2762,2000-2001_Ipswich_Middlesbrough,2000-2001,10,2000-10-28,Ipswich,Middlesbrough,2,1,H,Neale Barry,8.0,17.0,0.0,2.0,0.0,0.0
2763,2000-2001_Leicester_Derby,2000-2001,10,2000-10-28,Leicester,Derby,2,1,H,Graham Poll,9.0,18.0,0.0,3.0,0.0,0.0
2764,2000-2001_Man United_Southampton,2000-2001,10,2000-10-28,Man United,Southampton,5,0,H,Andy D'Urso,5.0,9.0,0.0,0.0,0.0,0.0
2765,2000-2001_Sunderland_Coventry,2000-2001,10,2000-10-28,Sunderland,Coventry,1,0,H,Alan Wiley,17.0,10.0,2.0,2.0,0.0,0.0
2766,2000-2001_West Ham_Newcastle,2000-2001,10,2000-10-28,West Ham,Newcastle,1,0,H,Mike Riley,15.0,10.0,3.0,2.0,0.0,0.0
2767,2000-2001_Bradford_Leeds,2000-2001,10,2000-10-29,Bradford,Leeds,1,1,D,Steve Lodge,15.0,15.0,3.0,4.0,0.0,0.0
2768,2000-2001_Liverpool_Everton,2000-2001,10,2000-10-29,Liverpool,Everton,3,1,H,Paul Durkin,10.0,10.0,0.0,1.0,0.0,1.0
2769,2000-2001_Charlton_Bradford,2000-2001,11,2000-11-04,Charlton,Bradford,2,0,H,Neale Barry,10.0,20.0,0.0,1.0,0.0,1.0
